,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Allan Hancock Total,,,"3,125","2,777","4,271","4,674",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,242,180,264,296,
,,Administration of Justice-210500,50,31,59,47,
,,"Agriculture Business, Sales and Service-011200",3,1,4,1,
,,"Biology, General-040100",11,9,8,10,
,,Business Administration-050500,80,68,84,80,
,,"Chemistry, General-190500",3,2,1,4,
,,Child Development/Early Care and Education-130500,21,23,18,24,
,,Computer Science (Transfer)-070600,13,7,18,22,
,,"Mathematics, General-170100",32,19,38,61,
,,"Nutrition, Foods, and Culinary Arts-130600",5,5,7,3,
,,"Physics, General-190200",12,9,21,38,
,,Plant Science-010300,12,6,6,6,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,239,200,293,244,
,,Anthropology-220200,1,2,1,5,
,,Art-100200,11,13,12,10,
,,Dramatic Arts-100700,5,2,2,1,
,,English-150100,18,14,13,9,
,,Geography-220600,,1,,,
,,History-220500,21,16,19,23,
,,Kinesiology-127000,10,18,21,16,
,,Liberal Studies-490120,15,11,25,14,
,,Music-100400,,,2,4,
,,Philosophy-150900,1,1,4,1,
,,Political Science-220700,16,6,14,20,
,,"Psychology, General-200100",100,67,106,84,
,,Sociology-220800,27,28,56,40,
,,Spanish-110500,4,9,2,3,
,,Speech Communication-150600,10,12,16,14,
,Associate of Science (A.S.) degree                           Total,,341,338,362,312,
,,Accounting-050200,13,8,10,7,
,,Administration of Justice-210500,21,22,27,12,
,,"Agriculture Technology and Sciences, General-010100",3,5,8,,
,,Alcohol and Controlled Substances-210440,7,10,11,4,
,,Animation-061440,3,1,5,10,
,,Applied Photography-101200,1,3,4,3,
,,Architectural Drafting-095310,3,8,5,1,
,,Athletic Training and Sports Medicine-122800,1,1,2,2,
,,Automotive Collision Repair-094900,2,3,4,3,
,,Automotive Technology-094800,27,31,22,25,
,,Business Management-050600,12,14,12,9,
,,Child Development/Early Care and Education-130500,7,8,10,6,
,,Children with Special Needs-130520,1,1,,,
,,Computer Information Systems-070200,5,1,6,3,
,,Computer Networking-070810,5,4,2,2,
,,Cosmetology and Barbering-300700,,1,4,2,
,,Dental Assistant-124010,17,18,15,9,
,,Educational Aide (Teacher Assistant)-080200,1,,,,
,,Electronics and Electric Technology-093400,1,4,,2,
,,Emergency Medical Services-125000,4,6,2,1,
,,"Engineering Technology, General (requires Trigonometry)-092400",2,2,3,3,
,,Environmental Technology-030300,2,2,6,3,
,,Fashion-130300,5,5,3,4,
,,Film Production-061220,3,1,2,4,
,,Fire Technology-213300,33,30,28,19,
,,Graphic Art and Design-103000,7,5,8,18,
,,Hospitality-130700,18,,,,
,,Human Services-210400,4,10,6,8,
,,Infants and Toddlers-130590,2,5,1,,
,,Interior Design and Merchandising-130200,4,2,3,4,
,,Legal Office Technology-051410,,2,2,,
,,Licensed Vocational Nursing-123020,35,30,32,34,
,,Machining and Machine Tools-095630,1,1,2,4,
,,Marketing and Distribution-050900,4,4,6,5,
,,Multimedia-061410,2,1,3,3,
,,Office Technology/Office Computer Applications-051400,12,6,12,7,
,,Paralegal-140200,8,7,5,4,
,,Recreation-083600,18,16,10,13,
,,Registered Nursing-123010,33,32,47,49,
,,Restaurant and Food Services and Management-130710,,13,9,11,
,,Small Business and Entrepreneurship-050640,1,,2,3,
,,"Viticulture, Enology, and Wine Business-010400",4,1,5,1,
,,Welding Technology-095650,6,12,11,10,
,,Wildland Fire Technology-213310,3,2,7,4,
,Associate of Arts (A.A.) degree                              Total,,"1,131",790,"1,318","1,348",
,,Art-100200,4,1,4,3,
,,Biological and Physical Sciences (and Mathematics)-490200,396,268,457,413,
,,"Biology, General-040100",8,5,5,4,
,,Business Administration-050500,27,26,30,20,
,,"Chemistry, General-190500",5,4,10,10,
,,Computer Science (Transfer)-070600,19,15,31,22,
,,Dance-100800,3,1,4,4,
,,"Engineering, General (requires Calculus) (Transfer)-090100",13,9,17,13,
,,English-150100,,5,4,1,
,,Kinesiology-127000,4,6,10,5,
,,"Liberal Arts and Sciences, General-490100",546,391,634,765,
,,Liberal Studies-490120,3,3,6,1,
,,"Mathematics, General-170100",22,20,52,32,
,,Music-100400,3,4,5,6,
,,"Nutrition, Foods, and Culinary Arts-130600",16,6,3,5,
,,"Physics, General-190200",7,5,11,11,
,,"Psychology, General-200100",31,13,19,18,
,,"Social Sciences, General-220100",9,3,5,1,
,,Sociology-220800,1,,1,2,
,,Spanish-110500,3,2,1,6,
,,Speech Communication-150600,4,1,6,4,
,,"Viticulture, Enology, and Wine Business-010400",7,2,3,2,
