,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
Evergreen Valley Total,,,"1,105","1,260",875,"1,164",
,Associate in Science for Transfer (A.S.-T) Degree            Total,,273,284,189,258,
,,Administration of Justice-210500,50,51,32,21,
,,"Biology, General-040100",17,27,18,13,
,,Business Administration-050500,156,126,104,142,
,,"Chemistry, General-190500",,6,4,4,
,,Computer Science (Transfer)-070600,7,23,5,24,
,,"Mathematics, General-170100",31,38,16,41,
,,"Nutrition, Foods, and Culinary Arts-130600",5,2,3,2,
,,"Physics, General-190200",7,11,7,11,
,Associate in Arts for Transfer (A.A.-T) Degree               Total,,317,380,229,284,
,,Anthropology-220200,,2,1,3,
,,Art-100200,11,17,12,29,
,,Child and Adolescent Development-130510,59,83,37,39,
,,Dramatic Arts-100700,,,,2,
,,Economics-220400,57,84,66,82,
,,English-150100,9,8,7,4,
,,History-220500,6,7,2,6,
,,Kinesiology-127000,25,18,8,15,
,,Music-100400,,,,1,
,,Philosophy-150900,,,,1,
,,Political Science-220700,,,,1,
,,"Psychology, General-200100",114,105,70,64,
,,Social Justice: African American Studies-220180,2,3,1,,
,,Social Justice: Asian American Studies-220190,2,4,1,4,
,,Social Justice: Chicano Studies-220160,2,9,3,6,
,,Social Justice: Ethnic Studies-220150,5,13,3,12,
,,Social Justice: Gender Studies-220170,2,2,,1,
,,Speech Communication-150600,23,25,18,14,
,Associate of Science (A.S.) degree                           Total,,94,103,89,83,
,,Accounting-050200,12,12,9,4,
,,Administration of Justice-210500,,,1,2,
,,Art-100200,1,,,,
,,Automotive Technology-094800,4,8,9,7,
,,Drafting Technology-095300,2,,,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",1,4,,1,
,,Office Technology/Office Computer Applications-051400,,1,1,1,
,,Paralegal-140200,6,13,3,4,
,,Registered Nursing-123010,68,65,66,64,
,Associate of Arts (A.A.) degree                              Total,,118,129,86,99,
,,Administration of Justice-210500,3,2,4,1,
,,Art-100200,,1,,2,
,,Biological and Physical Sciences (and Mathematics)-490200,71,77,57,69,
,,"Biology, General-040100",4,1,3,,
,,Business Administration-050500,2,3,3,5,
,,"Chemistry, General-190500",6,5,3,2,
,,"Engineering, General (requires Calculus) (Transfer)-090100",,1,,2,
,,English-150100,,,,1,
,,Liberal Studies-490120,5,4,2,2,
,,Paralegal-140200,8,11,4,5,
,,"Psychology, General-200100",1,,1,,
,,Sociology-220800,18,24,9,10,
,Certificate requiring 30 to < 60 semester units              Total,,210,286,218,359,
,,Automotive Technology-094800,7,7,6,10,
,,Transfer Studies-490110,203,279,212,349,
,Certificate requiring 16 to fewer than 30 semester units     Total,,71,50,36,48,
,,Accounting-050200,6,2,3,1,
,,Alternative Fuels and Advanced Transportation Technology-094840,2,2,6,3,
,,"Chemistry, General-190500",6,7,3,6,
,,Computer Networking-070810,,4,,2,
,,Educational Technology-086000,,1,2,1,
,,Legal and Community Interpretation-214000,,,,25,
,,Medical Office Technology-051420,9,3,1,2,
,,Paralegal-140200,16,14,8,8,
,,Spanish-110500,32,17,13,,
,Certificate requiring 8 to fewer than 16 semester units      Total,,22,28,28,33,
,,Accounting-050200,,,4,,
,,Administration of Justice-210500,,,,2,
,,Alternative Fuels and Advanced Transportation Technology-094840,,14,11,8,
,,Automotive Technology-094800,22,14,12,22,
,,"Psychology, General-200100",,,1,1,
